67	1320	716.098	80382.4	-781319	-297.876	-391.936	416.819	434.773	785443
68	1340	-5243.68	72536.3	-772936	-297.863	-392.362	421.153	434.773	776350
69	1360	-11202.9	64682	-764465	-297.815	-392.758	425.592	434.773	767279
70	1380	-17160.7	56820.1	-755905	-297.731	-393.122	430.141	434.773	758232
71	1400	-23116.5	48951.2	-747252	-297.606	-393.45	434.802	434.773	749211
72	1420	-29069.3	41076.2	-738505	-297.438	-393.739	439.578	434.773	740218
73	1440	-35018.3	33195.8	-729661	-297.224	-393.986	444.473	434.773	731255
74	1460	-40962.6	25310.9	-720719	-296.961	-394.189	449.489	434.773	722325
75	1480	-46901.1	17422.4	-711674	-296.645	-394.342	454.63	434.773	713431
76	1500	-52832.7	9531.36	-702525	-296.274	-394.442	459.898	434.773	704574
77	1520	-58756.3	1638.9	-693270	-295.842	-394.485	465.297	434.773	695757
78	1540	-64670.6	-6253.81	-683905	-295.346	-394.466	470.83	434.773	686985
79	1560	-70574.3	-14145.5	-674429	-294.781	-394.381	476.5	434.773	678259
80	1580	-76465.9	-22034.7	-664837	-294.143	-394.224	482.31	434.773	669582
81	1600	-82344.1	-29920.1	-655128	-293.427	-393.989	488.261	434.773	660960
82	1620	-88207.1	-37799.9	-645298	-292.627	-393.672	494.356	434.773	652395
83	1640	-94053.2	-45672.5	-635345	-291.739	-393.264	500.597	434.773	643890
84	1660	-99880.6	-53536	-625265	-290.756	-392.761	506.986	434.773	635452
85	1680	-105687	-61388.4	-615056	-289.672	-392.155	513.524	434.773	627083
86	1700	-111471	-69227.6	-604715	-288.481	-391.439	520.211	434.773	618788
87	1720	-117230	-77051.3	-594239	-287.176	-390.604	527.049	434.773	610573
88	1740	-122962	-84857.1	-583624	-285.751	-389.643	534.037	434.773	602443
89	1760	-128664	-92642.3	-572868	-284.198	-388.548	541.175	434.773	594403
90	1780	-134333	-100404	-561967	-282.509	-387.308	548.461	434.773	586459
91	1800	-139968	-108140	-550920	-280.677	-385.914	555.893	434.773	578617
92	1820	-145564	-115846	-539722	-278.693	-384.358	563.469	434.773	570884
93	1840	-151119	-123519	-528371	-276.549	-382.628	571.186	434.774	563267
94	1860	-156629	-131156	-516865	-274.237	-380.715	579.037	434.774	555773
95	1880	-162091	-138752	-505200	-271.747	-378.606	587.019	434.774	548409
96	1900	-167502	-146304	-493374	-269.072	-376.292	595.124	434.774	541184
97	1920	-172857	-153808	-481385	-266.201	-373.761	603.344	434.774	534105
98	1940	-178153	-161259	-469230	-263.126	-371.001	611.669	434.774	527181
99	1960	-183385	-168652	-456908	-259.839	-368.001	620.09	434.774	520421
100	1980	-188549	-175983	-444416	-256.33	-364.749	628.592	434.774	513835
101	2000	-193641	-183246	-431754	-252.59	-361.234	637.163	434.775	507432
102	2020	-198655	-190436	-418919	-248.613	-357.445	645.787	434.775	501222
103	2040	-203587	-197548	-405912	-244.389	-353.371	654.446	434.775	495215
104	2060	-208433	-204575	-392731	-239.914	-349.003	663.12	434.775	489421
105	2080	-213186	-211511	-379377	-235.179	-344.331	671.788	434.775	483851
106	2100	-217842	-218351	-365849	-230.182	-339.346	680.428	434.775	478517
107	2120	-222395	-225088	-352149	-224.917	-334.043	689.013	434.776	473428
108	2140	-226840	-231716	-338279	-219.382	-328.415	697.518	434.776	468595
109	2160	-231172	-238228	-324239	-213.577	-322.459	705.914	434.776	464030
110	2180	-235385	-244617	-310032	-207.502	-316.171	714.172	434.776	459743
111	2200	-239474	-250878	-295662	-201.16	-309.553	722.261	434.776	455744
112	2220	-243433	-257002	-281131	-194.555	-302.607	730.149	434.776	452045
113	2240	-247257	-262984	-266446	-187.694	-295.336	737.804	434.776	448654
114	2260	-250942	-268818	-251610	-180.585	-287.748	745.195	434.776	445581
115	2280	-254482	-274497	-236628	-173.241	-279.853	752.289	434.776	442834
116	2300	-257873	-280015	-221508	-165.673	-271.662	759.055	434.776	440423
117	2320	-261110	-285366	-206257	-157.898	-263.192	765.463	434.776	438353
118	2340	-264190	-290545	-190880	-149.933	-254.459	771.485	434.776	436632
119	2360	-267108	-295546	-175388	-141.796	-245.484	777.093	434.777	435265
120	2380	-269863	-300366	-159787	-133.51	-236.288	782.265	434.776	434256
